id,name,numberofquestion,createdAt,updatedAt,nameEx,threshold,IDrank,showsubject,timeFinish,id,IDSubject,code,createdAt,updatedAt,id,IDTest,IDQuestion,createdAt,updatedAt,numberquestion,IDsubject,order
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,273,3,DeSo-3,"2025-01-09 22:37:54","2025-01-09 22:37:54",3447,273,770,"2025-01-09 22:37:54","2025-01-09 22:37:54",7,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,273,3,DeSo-3,"2025-01-09 22:37:54","2025-01-09 22:37:54",3446,273,769,"2025-01-09 22:37:54","2025-01-09 22:37:54",6,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,273,3,DeSo-3,"2025-01-09 22:37:54","2025-01-09 22:37:54",3445,273,768,"2025-01-09 22:37:54","2025-01-09 22:37:54",5,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,273,3,DeSo-3,"2025-01-09 22:37:54","2025-01-09 22:37:54",3444,273,767,"2025-01-09 22:37:54","2025-01-09 22:37:54",4,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,273,3,DeSo-3,"2025-01-09 22:37:54","2025-01-09 22:37:54",3443,273,787,"2025-01-09 22:37:54","2025-01-09 22:37:54",3,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,273,3,DeSo-3,"2025-01-09 22:37:54","2025-01-09 22:37:54",3442,273,786,"2025-01-09 22:37:54","2025-01-09 22:37:54",2,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,273,3,DeSo-3,"2025-01-09 22:37:54","2025-01-09 22:37:54",3441,273,785,"2025-01-09 22:37:54","2025-01-09 22:37:54",1,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,274,3,DeSo-4,"2025-01-09 22:37:54","2025-01-09 22:37:54",3460,274,788,"2025-01-09 22:37:54","2025-01-09 22:37:54",10,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,274,3,DeSo-4,"2025-01-09 22:37:54","2025-01-09 22:37:54",3459,274,781,"2025-01-09 22:37:54","2025-01-09 22:37:54",9,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,274,3,DeSo-4,"2025-01-09 22:37:54","2025-01-09 22:37:54",3458,274,780,"2025-01-09 22:37:54","2025-01-09 22:37:54",8,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,274,3,DeSo-4,"2025-01-09 22:37:54","2025-01-09 22:37:54",3457,274,779,"2025-01-09 22:37:54","2025-01-09 22:37:54",7,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,274,3,DeSo-4,"2025-01-09 22:37:54","2025-01-09 22:37:54",3456,274,778,"2025-01-09 22:37:54","2025-01-09 22:37:54",6,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,274,3,DeSo-4,"2025-01-09 22:37:54","2025-01-09 22:37:54",3455,274,777,"2025-01-09 22:37:54","2025-01-09 22:37:54",5,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,274,3,DeSo-4,"2025-01-09 22:37:54","2025-01-09 22:37:54",3454,274,776,"2025-01-09 22:37:54","2025-01-09 22:37:54",4,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,274,3,DeSo-4,"2025-01-09 22:37:54","2025-01-09 22:37:54",3453,274,775,"2025-01-09 22:37:54","2025-01-09 22:37:54",3,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,274,3,DeSo-4,"2025-01-09 22:37:54","2025-01-09 22:37:54",3452,274,774,"2025-01-09 22:37:54","2025-01-09 22:37:54",2,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,274,3,DeSo-4,"2025-01-09 22:37:54","2025-01-09 22:37:54",3451,274,773,"2025-01-09 22:37:54","2025-01-09 22:37:54",1,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,275,3,DeSo-5,"2025-01-09 22:37:54","2025-01-09 22:37:54",3470,275,789,"2025-01-09 22:37:54","2025-01-09 22:37:54",10,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,275,3,DeSo-5,"2025-01-09 22:37:54","2025-01-09 22:37:54",3469,275,769,"2025-01-09 22:37:54","2025-01-09 22:37:54",9,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,275,3,DeSo-5,"2025-01-09 22:37:54","2025-01-09 22:37:54",3468,275,768,"2025-01-09 22:37:54","2025-01-09 22:37:54",8,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,275,3,DeSo-5,"2025-01-09 22:37:54","2025-01-09 22:37:54",3467,275,767,"2025-01-09 22:37:54","2025-01-09 22:37:54",7,3,NULL
